Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2009;Berne;72638000;9916155;406331;8794;397536;822483;410788;182989;119385;89993;0;19327;3031958;1128509;13702;555016;213673;8612;822645;218381;71420;208716;44057;66772;1723;23887;72277;1263050;1094772;17757;36621;96303;17597;2027204;462458;652348;355844;91673;58979;0;404258;0;1644;872852;555278;317575;0;0;147443;18571;43337;5640;38418;13480;4490;8399;15109;733092;615618;48116;8916;7420;39476;0;13547;0;403026;68870;0;191495;9686;132975
2010;Berne;75267000;10186133;426009;8564;417445;870830;431974;189842;127663;100737;0;20614;3078872;1119848;14570;554426;212502;9261;849842;241556;76867;191128;44916;54011;131;21527;70543;1281698;1117733;17754;40462;95575;10173;2147874;540117;654032;366112;104019;65161;0;416213;0;2220;891144;532948;358196;0;0;127916;15915;30013;5393;36397;16485;4635;5947;13132;756012;628348;52918;9243;12408;38877;0;14218;0;414650;63748;0;191627;10419;148856
2011;Berne;76434000;10547380;423251;8733;414519;898646;437509;212450;123540;106151;0;18996;3210306;1161698;15307;597288;205139;9077;891195;252095;78507;178904;45528;42721;1039;16827;72789;1381986;1163105;71277;37720;98061;11823;2248744;554308;683100;404260;106062;64173;0;434739;0;2101;927839;569974;357866;0;0;134336;16453;27971;5444;39293;15574;11492;4554;13555;744679;619338;51061;9252;10016;44020;0;10993;0;398687;71907;0;188342;12815;125624
2012;Berne;76388000;11104992;603592;8692;594900;890789;427798;212019;136269;95530;0;19172;3268299;1164697;16312;576784;197105;9710;956603;269585;77502;180051;45386;48349;159;11949;74207;1781838;1477262;151291;33762;106706;12816;2230178;550990;608518;430583;101985;59826;0;475822;0;2455;871813;531804;340008;0;0;146786;13650;28362;7058;39480;14143;31655;1102;11335;740173;616022;50260;9158;10744;36546;0;17443;0;391474;68819;0;195193;12978;114484
2013;Berne;77685000;10865589;409448;8751;400697;1006362;408984;213362;139302;225791;0;18923;3225683;1157646;15912;564221;203938;11412;917428;279250;75876;180871;45274;41562;273;21277;72485;1712490;1411947;153105;33041;102969;11428;2172480;515229;605619;436898;91159;61179;0;460690;0;1707;892695;539685;353010;0;0;128782;16965;24259;9183;26043;16519;22886;1160;11767;744383;615998;48716;8745;11190;41088;0;18646;0;392393;69532;0;194060;11473;117328
2014;Berne;79180000;10927785;427394;11336;416058;1037256;420149;217258;142878;238126;0;18845;3296882;1159880;16302;565923;220781;9882;988077;259724;76312;182469;51366;43882;273;14381;72566;1691290;1403554;134576;32290;105949;14921;2216864;342772;696376;532842;93155;64078;0;486037;0;1604;831784;476205;355579;0;0;132547;16766;29026;8170;24558;15340;25782;992;11913;727287;599394;47717;8791;8768;40121;0;22496;0;384013;69721;0;192955;15147;106190
2015;Berne;79732000;13227811;2325981;12414;2313567;1063677;428148;215835;150273;250656;0;18765;3345802;1168154;16235;581554;228905;15928;968240;286785;80002;184870;52378;48492;284;11214;72502;1727041;1417150;137131;52881;105936;13943;2490277;334695;826302;549251;92238;66390;0;619421;0;1980;850308;479567;370741;0;0;110212;13588;23530;7952;18404;17726;16912;925;11175;728045;606581;48288;8261;7643;36085;0;21187;0;401597;70156;0;194134;17539;119768
2016;Berne;79542000;11508668;419434;12119;407315;1085665;433358;225712;148267;256688;0;21640;3335104;1182585;16861;589409;206815;10173;963381;285158;80720;191259;58457;44035;160;15623;72984;1788824;1437174;163246;54120;120839;13445;2633904;399107;827945;557090;90608;71332;0;685833;0;1989;833389;448835;384554;0;0;114941;15051;22824;9085;19403;19675;16072;729;12102;714604;593615;45021;9158;7305;37928;0;21578;0;391544;71425;0;193814;13132;113174
2017;Berne;79627000;11612390;503483;16787;486695;1088327;438849;220239;148433;259100;0;21707;3402943;1224130;33878;507423;178967;88311;955989;332710;81535;191045;58248;47524;260;13263;71750;1781141;1459548;152219;49462;107286;12627;2643721;422475;813927;559529;111119;72458;0;662145;0;2069;774269;383520;390748;0;0;119869;15192;15159;10919;30379;18270;15135;2417;12399;721594;594208;43866;7936;7195;45111;0;23279;0;385997;69154;0;193827;10485;112530
2018;Berne;81727000;11707198;482155;16706;465449;1136756;471282;222722;154333;269712;0;18708;3457675;1242700;35855;493762;181193;96733;973146;341542;92743;186546;58231;39583;161;16833;71737;1734945;1430932;135433;49233;108906;10441;2702879;472233;830919;584935;121331;71596;0;619524;0;2341;672778;284880;387898;0;0;182647;26484;19206;6891;40197;21895;53386;2551;12037;763200;603303;46540;9540;8016;40555;0;55246;0;387617;74042;0;190450;11338;111787
2019;Berne;83337000;11694905;497282;16978;480304;1047831;460576;225646;164027;180448;0;17135;3769520;1294280;225195;510625;191910;97187;999416;357363;93544;188249;52429;49688;61;14882;71190;1741703;1429836;124658;70678;106928;9602;2490462;394776;659862;594046;202074;67367;0;569516;0;2820;664234;275293;388941;0;0;148301;16179;11362;5669;65195;22513;10856;2775;13751;770952;618470;42093;9014;5725;41131;0;54517;0;376371;74550;0;187126;17066;97629
2020;Berne;0;12305993;532341;18577;513765;1085675;470222;229034;172220;194989;0;19210;3772141;1337141;218389;484981;186969;98135;993412;360138;92977;184843;39100;56843;2515;12565;73819;2042488;1662699;142904;118355;108247;10283;2601978;401808;711850;620299;230487;73653;0;561961;0;1919;726412;293852;432561;0;0;132458;10534;6015;5056;64783;18893;5719;6325;15132;871662;639841;47509;8971;9794;88118;0;77429;0;355995;49636;0;187362;36597;82400
1990;Fribourg;0;1253474;69579;2762;66817;124513;43174;13421;13344;21287;132;33154;400138;139120;15753;65146;39735;16270;116710;0;7403;26128;15214;7942;178;2624;170;173581;163557;1198;5487;0;3339;141030;8899;29746;72773;5350;1361;2922;19785;0;195;107491;90762;16504;225;0;63446;0;48750;20;5632;3;0;9;9030;96313;69393;23562;2122;857;353;0;25;0;51256;3474;0;2018;11257;34508
1991;Fribourg;0;1458826;78528;3168;75359;139722;50260;16139;16099;21703;438;35081;461814;176687;18350;75946;44162;15082;123350;0;8236;30796;18065;9128;157;2920;526;204007;191744;1904;6202;0;4158;167354;10070;33704;79758;4585;1677;3725;33546;0;288;138547;121433;16872;242;0;48262;0;34684;600;5231;268;0;3;7475;129812;102009;23609;2322;1464;330;0;78;0;59985;4415;0;43;11757;43770
1992;Fribourg;0;1546672;80483;3044;77438;141990;53247;19354;17502;24290;543;27055;508455;188365;21543;81560;57187;17166;135973;0;6661;30301;17983;8884;166;2925;343;228521;213886;1931;8109;0;4595;183098;11340;39346;87423;5045;2240;3827;33666;0;210;127906;109453;18213;240;0;53921;0;34959;2298;8855;369;0;14;7427;128378;97381;22990;2472;1361;3758;0;416;0;63620;6489;0;0;13036;44094
1993;Fribourg;0;1759051;88897;2944;85953;143294;55344;19902;18493;22546;433;26576;551431;203551;21636;82615;61299;28602;146854;0;6872;30389;17997;8995;156;2968;272;250337;231305;6052;8411;0;4569;246792;12449;46029;87615;5399;56001;4403;34813;0;83;189599;167220;22088;292;0;44680;0;26219;-41;8876;524;0;28;9074;143730;112629;23715;2359;1734;2716;0;577;0;69903;5474;0;0;13360;51069
1994;Fribourg;0;1749003;83314;3134;80181;137598;53730;20091;19479;22477;405;21417;558074;201767;22624;81885;59068;41764;143919;0;7047;31597;18937;9152;118;2955;434;247027;228329;5456;8639;0;4603;221831;12891;48721;85640;5289;30276;5150;33608;0;256;185716;162291;23079;346;0;42720;0;26387;1182;7395;472;0;56;7228;163753;131435;25076;2374;2517;2032;0;320;0;77372;8866;0;0;14873;53634
1995;Fribourg;0;1742358;88289;3161;85128;137365;53621;21437;18695;23004;459;20150;545912;205210;21478;78001;49436;37920;146783;0;7083;33161;19991;9975;268;2621;308;229722;211327;4525;8967;0;4903;211884;16802;52688;88185;5543;9165;6433;33032;0;36;218931;187683;29853;1394;0;34809;0;21656;809;5718;669;0;85;5872;164403;133525;24173;2311;2366;1981;0;49;0;77883;14863;0;0;15491;47529
1996;Fribourg;0;1903215;87973;3603;84370;144467;57856;23251;19194;23695;428;20043;585543;224044;21194;92323;44472;34289;162190;0;7031;35737;21403;10832;0;3272;231;217452;200326;4954;8863;0;3308;261270;46721;50575;74767;5185;33484;8814;41669;0;55;260109;228622;30926;253;308;45280;0;27368;1963;7648;768;0;1286;6247;190133;161806;23366;2465;1729;688;0;79;0;75251;11918;0;0;15894;47439
1997;Fribourg;0;2001240;90502;3361;87141;152637;65297;24835;19624;25376;471;17035;583914;226468;23622;95648;46709;24428;159480;0;7559;38859;22282;12909;0;3439;229;231818;215735;3697;9888;0;2498;322748;70951;53438;76779;6486;57973;11113;45934;0;75;254155;226827;26503;237;587;45755;0;27273;1665;7100;807;0;873;8037;206457;171731;29257;2533;2020;819;0;97;0;74395;11671;0;0;16136;46588
1998;Fribourg;0;2023471;103155;3237;99918;155448;63099;26225;20895;27258;471;17500;603185;249290;24150;74066;61985;37103;148838;0;7753;36816;20371;12623;0;3763;59;228874;212887;2253;10913;0;2821;324470;83876;59246;80183;4992;34739;9298;52070;0;66;248369;215420;32061;371;517;48027;0;26327;5980;6116;1082;0;255;8267;202831;169674;26207;2585;2102;1802;0;461;0;72296;11772;0;0;16627;43896
1999;Fribourg;0;2045604;98368;3539;94829;156419;63213;27876;20724;28302;759;15545;634925;260810;22515;82139;66433;37496;157706;0;7825;35411;18853;12836;0;3663;60;269286;252375;1940;11255;0;3716;328348;90734;59629;84181;4967;12074;10174;66498;0;89;204497;179653;24327;200;317;46631;368;29483;1588;5492;996;0;352;8352;200449;168339;24158;2495;2085;2798;0;574;0;71270;13794;0;0;17261;40215
2000;Fribourg;0;2107723;99696;3947;95749;161467;67916;28280;20792;28957;515;15007;660223;265601;25667;87105;71138;17507;185149;0;8055;35342;18431;13257;0;3594;60;274987;257969;2129;11052;0;3838;337966;104715;64978;85360;5598;9373;8450;59335;0;157;187599;169395;16808;938;458;52081;888;25952;5496;6486;1067;0;322;11870;227038;172182;48924;2694;2293;753;0;192;0;71324;12058;0;0;17738;41529
2001;Fribourg;0;2194188;98772;5022;93750;170701;75326;29856;21013;28718;578;15211;686934;273077;26944;87371;69959;5367;215950;0;8268;38545;16589;18618;0;3279;59;289786;270525;2155;11718;0;5388;335332;104999;73851;85737;6361;4627;8291;51399;0;65;165044;145017;19094;438;495;48219;20;23281;7485;5820;1109;0;401;10103;270120;188358;34612;2709;2604;756;0;41082;0;90734;18672;0;0;19056;53007
2002;Fribourg;0;2188676;109236;5166;104071;177582;76675;33801;22386;30147;728;13844;727044;282890;29628;94639;73027;5616;232296;0;8947;47191;17418;26360;0;3103;309;299650;280986;2061;11722;0;4881;355898;115481;76047;91594;6029;4187;8936;53557;0;66;113542;90212;22580;253;497;46900;0;21383;8256;5163;1116;0;250;10732;241670;197887;36832;2761;2723;424;0;1043;0;69963;8424;0;0;19819;41720
2003;Fribourg;0;2316646;110528;5644;104883;184020;76083;34664;24887;34966;504;12917;788780;293212;31881;89854;79397;4596;280462;0;9378;41211;19108;18694;0;2886;523;309314;289366;2506;12265;0;5176;373698;112212;86090;94017;6148;5160;10041;59962;0;67;147736;122777;24177;257;524;51206;0;23279;9560;5401;1349;0;242;11375;241223;195872;38146;2865;2821;421;0;1098;0;68930;7062;0;0;20340;41529
2004;Fribourg;0;2426760;118521;4850;113671;187260;79724;37624;25892;35300;561;8159;813706;294569;36072;95539;82440;5955;290211;0;8920;46341;18470;23163;0;4618;90;333397;311976;2848;12828;0;5746;411977;114967;96498;99727;6364;22467;8761;63100;0;95;172469;146953;24805;175;535;36140;0;11369;6743;3846;1095;0;410;12677;236833;198537;30423;2911;2809;421;0;1733;0;70116;9369;0;0;20717;40030
2005;Fribourg;0;2485404;124807;4406;120401;199112;82295;42097;27511;37122;566;9520;869670;311231;45338;102749;81390;6979;312582;0;9403;35729;17674;13934;0;4118;3;348444;326366;2964;13279;0;5836;430203;117302;104696;103493;7449;21900;8669;66522;0;173;152699;124540;27280;317;561;26868;0;7203;774;5489;1208;0;303;11890;231459;197420;26029;2940;2959;386;0;1724;0;66414;8373;0;0;21121;36919
2006;Fribourg;0;2526805;123182;5686;117496;205643;88620;43624;29096;35721;572;8012;882277;321049;38586;101880;81283;13927;316896;0;8655;36276;18049;12618;0;5606;3;369376;346629;3108;13896;0;5743;433576;125800;102140;104965;7311;22135;7950;63194;0;80;166587;138938;26774;300;575;26232;0;7584;1137;4581;1258;0;309;11364;228026;194561;25191;3004;2996;384;0;1890;0;55629;8848;0;0;22497;24284
2007;Fribourg;0;2650611;122817;5372;117445;207275;84967;45755;30752;36194;483;9124;890573;330911;34173;109113;87842;13174;306296;0;9064;37620;18901;12091;0;6629;0;414218;389906;3649;13534;0;7129;459803;122362;115264;108792;21473;20806;7771;63277;0;59;189760;159441;29454;294;572;30835;0;7762;1170;5804;1354;0;305;14439;240037;206662;24455;3036;3194;404;0;2286;0;57672;9834;0;0;23037;24801
2008;Fribourg;16358000;2702345;122839;5731;117108;229964;92870;51772;39823;35863;569;9066;1011923;314600;64215;146887;84987;5464;342330;45081;8360;46916;18247;22569;0;6100;0;302101;274836;5224;13094;0;8948;459098;123033;126770;82399;42599;20520;7415;56216;0;146;191289;140838;50009;443;0;22078;0;3891;784;3805;1215;1670;6468;4245;248801;204955;23787;2002;3397;12474;0;2187;0;67335;11155;0;7007;23195;25978
2009;Fribourg;15980000;2865745;141950;5661;136290;235207;94419;53245;39619;38899;344;8681;1062892;336710;77148;152002;87844;7446;348004;44922;8815;52710;19292;24375;0;9044;0;335040;305124;5538;14454;0;9924;482018;132157;136586;81181;42609;23813;7528;57974;0;170;188334;130322;57658;353;0;20932;0;1408;1992;3465;1431;1671;6724;4242;282030;230993;26483;2219;3330;13587;0;5418;0;64631;9362;0;7007;23969;24293
2010;Fribourg;16543000;2983096;134213;5394;128819;245692;99813;56266;40730;39643;442;8798;1126845;347367;78417;159014;96465;11139;374414;50954;9076;49580;19586;24340;0;5654;0;348057;316797;6455;15491;0;9315;517555;147192;144293;82929;42610;24588;7558;68205;0;180;171456;108472;59136;3848;0;27468;0;2167;1390;4860;2132;5470;7170;4279;295683;232356;23338;2142;3748;19639;0;14460;0;66548;11516;0;7007;24509;23516
2011;Fribourg;16933000;3154816;166240;6975;159265;250556;106974;58705;37168;38130;603;8976;1169566;359866;83354;160651;106059;10697;387951;51773;9216;49819;19123;26071;0;4625;0;381537;347343;6909;17820;0;9465;546449;157811;149743;101607;44955;24345;7192;60776;0;20;194234;113224;67032;13978;0;30920;0;1162;1016;5549;2090;9041;7545;4518;291948;241292;24410;2278;3607;16243;0;4117;0;73547;9776;0;16248;25386;22136
2012;Fribourg;17046000;3180337;152161;5795;146366;256568;105211;60859;41868;39718;601;8311;1209079;371110;84043;153830;112437;6908;410384;60810;9559;50837;19632;25614;0;5591;0;389133;353110;7538;20109;0;8376;568642;162261;149961;96477;49367;25802;7286;77295;0;193;164016;100816;57684;4016;1500;34451;0;403;1138;7340;1345;11724;7917;4584;287198;234980;24212;2173;3651;16086;0;6096;0;68254;9193;0;16575;26223;16263
2013;Fribourg;17897000;3283291;150040;5890;144149;274157;117180;65635;41290;39377;1235;9441;1222286;378620;83792;154232;107230;7746;422655;58287;9723;50656;18925;27004;0;4727;0;435413;398078;9072;21498;0;6766;592449;164890;157819;105083;53230;28147;6930;76150;0;200;177156;110246;60948;5962;0;30213;0;249;1046;6254;1938;7922;8090;4714;288381;233101;30693;2224;3707;10856;0;7339;460;62542;5203;0;16550;26799;13989
2014;Fribourg;18524000;3275682;167655;5507;162148;262788;104343;68878;41832;37807;1089;8839;1245257;380123;84031;160386;102091;7887;439150;62245;9343;47584;18095;24713;0;4776;0;438619;402489;8015;21062;0;7052;588385;152002;163081;103980;51960;29292;6847;81003;0;220;164912;87557;76791;563;0;39349;0;0;882;2017;4459;19235;7913;4843;278491;224613;27106;2268;3667;12997;0;7840;0;42642;1547;0;16752;20172;4172
2015;Fribourg;18530000;3301045;141056;6537;134519;291249;115036;68218;41435;38218;697;27646;1248970;372588;82699;154532;98497;8505;454061;68583;9505;48615;18820;24970;0;4825;0;450086;412919;9312;20893;0;6962;603086;147381;171076;102664;54856;29122;6536;91221;0;230;151711;85256;65631;499;325;37045;0;142;930;2358;4986;15121;7910;5597;282606;229089;24222;2298;3650;13077;0;10270;0;46622;4945;0;17125;20653;3900
2016;Fribourg;18556000;3354543;164477;7222;157255;292029;117527;72095;43750;37770;1156;19730;1259313;382541;85602;156807;95382;8859;450343;70309;9472;50475;19293;25853;0;5328;0;446996;409192;8980;21503;0;7322;633656;151490;174329;105784;54770;30808;5943;110292;0;240;138118;65428;72202;488;0;37583;0;1600;1001;1700;3493;16987;7427;5375;279517;228545;26040;3278;3653;10975;0;7026;0;52378;9333;0;17648;21168;4229
2017;Fribourg;18933000;3451229;153266;5846;147420;304104;132939;72413;44749;39460;1160;13382;1316106;398406;91185;164183;99930;9463;469084;74251;9603;50231;18815;26421;0;4995;0;454428;413792;10352;22464;0;7821;646207;161195;174960;107248;55605;31961;5351;109626;0;260;151071;77188;73283;600;0;41727;0;494;985;1462;5500;18153;9665;5468;282448;227112;24676;2284;3647;17293;0;7435;0;51643;8496;0;17856;21482;3808
2018;Fribourg;19385000;3564349;185111;7025;178086;296812;120120;74164;46589;39958;346;15634;1362002;403517;92885;165497;105340;10429;497807;76411;10116;53985;19189;29662;0;5134;0;461567;419230;11298;22754;0;8286;669034;169578;182483;108370;57894;31391;4292;114757;0;270;155991;81183;74210;599;0;42311;0;-261;1073;4320;4827;16917;10026;5410;283605;223822;27077;2193;3795;15840;0;10877;0;53931;9514;0;18061;21852;4503
2019;Fribourg;19828000;3617754;209767;6734;203033;297244;119679;78217;48038;39016;273;12021;1351411;406499;91131;162639;111845;10357;484886;73807;10247;67470;20136;35179;0;12155;0;497031;452780;11133;24275;0;8842;677055;174157;187089;112436;59618;32434;3158;107893;0;270;133687;63506;69732;450;0;33719;0;0;1046;3309;3579;9641;10361;5784;294317;223639;28269;2904;3899;21738;0;13867;0;56051;11188;0;17909;22007;4948
2020;Fribourg;0;3745000;186413;6378;180035;299719;119858;81797;46942;39316;464;11342;1373703;423262;83521;165396;116368;10008;490658;73826;10665;71395;19121;36242;0;14733;1300;558875;494246;12301;43057;0;9272;700778;178060;196641;118444;61309;32823;1425;111797;0;280;129954;51779;77771;404;0;32774;0;0;1065;4218;2688;8290;10825;5688;317244;223728;28064;2468;6739;38561;0;17684;0;74143;10194;0;18205;40163;5582
1990;Geneva;0;4821308;164355;9266;155089;438271;220834;33831;52396;89129;11184;30897;1453523;538844;28860;215519;143009;49978;417450;0;59864;36707;2449;27468;408;5982;400;1000614;948720;0;16046;0;35848;811032;78900;84085;222208;49076;24983;67058;281818;0;2904;409727;249492;158326;1910;0;107812;0;47960;16719;22110;1118;0;6006;13899;31372;13053;1418;2181;269;13532;762;156;0;367894;44585;68840;0;32801;221668
1991;Geneva;0;5157502;167989;10108;157881;459081;231798;36639;58797;89585;11715;30547;1485143;547257;29826;225823;147961;39302;433889;0;61085;32623;2129;24328;291;5799;75;1072667;1018315;5;18362;0;35985;945793;82780;96772;358740;51513;38139;77846;233666;0;6337;442357;224897;210832;6628;0;110997;0;41765;18624;28890;1238;0;6381;14099;29651;12245;1423;2436;308;12481;754;4;0;411202;38976;78430;0;23479;270318
1992;Geneva;0;5333255;169168;9553;159614;463351;235052;38463;61094;90700;12666;25376;1547296;559427;30910;240610;157700;35313;462304;0;61033;28632;1754;19815;549;5941;573;1160972;1106028;599;17275;0;37069;966418;67055;102536;341082;51080;61423;105937;231741;0;5563;320824;157927;158233;4665;0;105760;0;40162;21474;19917;1228;0;6951;16027;35979;12834;1427;2088;313;14972;1007;3338;0;534854;42555;82970;0;32930;376398
1993;Geneva;0;5907041;210336;9555;200781;465931;242437;38403;59126;89188;13554;23222;1529472;563088;30886;246315;154854;33718;438697;0;61915;27344;1719;19390;436;5334;465;1175397;1122911;422;18448;0;33617;1254884;66428;132883;351399;49733;324203;90609;234203;0;5426;330873;166833;158528;5513;0;114188;0;43722;14990;25174;1297;0;6646;22359;216620;17425;1551;2115;481;39155;148465;7430;0;581994;45440;85680;0;24030;426844
1994;Geneva;0;5691318;167107;10622;156485;486824;245923;61231;47650;96575;13746;21700;1467858;548491;74472;229917;138924;41164;385519;0;49370;56868;8169;3073;282;45233;110;1182683;1131068;191;21695;0;29729;1182065;60187;153614;427939;18229;238584;102492;177823;0;3197;362457;216343;144940;1174;0;95036;1518;42720;5655;22773;1952;0;7849;12569;86516;17133;1282;2076;908;60446;1351;3320;0;603905;45269;83613;0;23673;451350
1995;Geneva;0;5567430;179499;10384;169116;473248;237666;61740;48620;92767;13362;19094;1465190;536760;68017;233613;142059;42399;399815;0;42528;75911;9229;18551;840;46741;550;1144404;1093091;460;38266;0;12587;1135867;77863;167708;439244;17701;117864;102827;207188;0;5472;326107;178409;146398;1301;0;76267;1532;37787;258;17953;1653;0;7727;9358;56223;19199;1203;1960;1351;28589;0;3921;0;634713;68977;84747;0;22075;458914
1996;Geneva;0;5785870;201124;20228;180896;478960;239164;61588;48781;96749;14127;18551;1479082;543305;67362;203855;148127;43869;428774;0;43790;60441;10786;17771;271;31343;270;1232396;1112111;60290;45742;0;14253;1257407;168749;173010;342286;24223;229617;106275;206255;0;6994;348134;206912;139048;2174;0;68464;1203;44820;1198;5319;1770;0;8249;5905;48684;21282;1275;2022;73;18646;1347;4039;0;611178;65096;89463;0;25583;431037
1997;Geneva;0;5948959;212148;12779;199369;477848;236658;58086;53016;98704;14779;16605;1493027;550371;54611;212317;153732;42077;431253;0;48666;65721;10193;19030;482;35374;642;1222916;1101327;63465;44769;0;13355;1383142;186941;192902;333523;24319;299556;105648;234393;0;5860;286716;145716;138940;2061;0;68691;1262;47281;4796;984;852;0;7834;5683;50135;23153;1223;2013;329;16641;1179;5596;0;688614;149044;88592;0;20699;430279
1998;Geneva;0;6052148;318299;15105;303195;504710;258626;62122;50819;101952;15316;15876;1499632;546976;53784;217947;154541;28484;445352;0;52548;62836;10362;20284;390;31531;270;1244805;1115485;65766;48817;0;14738;1386409;185243;206243;360072;45664;205475;113792;266633;0;3286;211490;69529;140265;1696;0;106500;3021;79934;5700;523;731;0;8845;7746;47564;25539;2405;2047;236;12954;1173;3209;0;669903;154570;88126;0;22662;404545
1999;Geneva;0;6072346;285070;16169;268902;472475;229607;64371;51698;95953;15098;15748;1516063;543112;54396;217636;154658;51578;439373;0;55311;63246;11681;19215;408;31942;0;1255172;1127108;66354;48271;0;13439;1331266;205483;213510;378065;36644;136602;89121;268250;0;3591;183342;55785;125877;1680;0;149033;3405;102574;8721;160;701;0;25631;7842;66824;23655;2299;1800;6;30098;917;8048;0;749854;263603;91488;0;20718;374045
2000;Geneva;0;6190701;281442;15576;265866;514383;266301;66252;53957;96515;15629;15729;1537040;550670;56103;230454;154644;26222;434590;0;84358;71460;15969;21464;186;33841;0;1319298;1183949;70010;51317;0;14023;1382235;231367;236006;398595;36595;121045;92876;262496;0;3256;203069;67135;133057;2877;0;132225;1366;91675;4242;1849;1334;0;23030;8731;132288;25272;2260;2051;1084;30411;62290;8921;0;617259;100474;94871;0;24400;397514
2001;Geneva;0;6870259;539894;16313;523580;498413;242862;68826;57055;101107;15403;13161;1660306;566759;59956;256704;161197;30518;525467;0;59706;76805;12855;28454;462;35035;0;1493899;1340122;84834;55529;0;13414;1449822;298232;301126;357806;35963;100378;95894;257207;0;3216;214801;70203;141880;2718;0;135998;2047;96464;8004;471;1695;0;16975;10343;217957;27337;2362;2346;1115;16542;158880;9375;0;582365;66088;103461;0;28090;384724
2002;Geneva;0;7114107;428952;33238;395715;537736;256825;72012;55458;122676;16902;13862;1746060;595352;58943;276550;150665;29777;570628;0;64145;87585;13320;29659;444;44103;60;1603636;1445365;87658;50418;0;20196;1491849;252101;331656;369248;60115;102687;115541;257285;0;3216;264948;68597;194220;2132;0;134197;1646;87957;11136;103;1756;0;19809;11790;262659;26035;4240;4076;200;22731;196491;8885;0;556484;68689;116908;0;43252;327635
2003;Geneva;0;7655619;468823;29345;439478;576269;278768;78035;64186;123371;18052;13856;1855384;613925;68759;231192;165472;37578;673170;0;65289;85847;14852;26533;1083;43380;0;1670110;1504665;91851;62720;0;10875;1566966;248783;336944;399623;45831;120789;106224;304756;0;4016;325343;72625;250180;2538;0;165613;1337;105324;11031;436;2362;0;25522;19601;437042;30841;4518;3569;13;15405;374280;8415;0;504223;57339;132204;0;24515;290165
2004;Geneva;0;7731441;422439;24076;398363;578959;276411;81438;65310;125166;17535;13098;1900882;608673;69708;225288;168166;29720;719851;0;79477;85139;12333;26057;1202;45547;0;1689484;1524184;87430;65583;0;12286;1649537;252008;367358;394810;33074;159838;90245;351204;0;1000;335990;78085;252748;5157;0;154288;1426;91161;9357;8926;3982;0;15546;23889;357288;33295;6783;4944;1148;17801;287897;5421;0;557435;61998;138182;0;22074;335180
2005;Geneva;0;8022131;449475;27856;421619;591734;283566;87272;67300;133974;7713;11910;1922494;594483;75837;268362;169136;26328;688963;0;99385;71557;15801;27011;2287;26457;0;1768143;1592900;88017;76292;0;10935;1722189;247360;378748;400469;31653;200781;91909;371269;0;0;291207;123016;165221;2971;0;161037;2719;86434;16813;7035;4033;0;20161;23842;412005;32211;7335;5068;1341;16843;343105;6101;0;632290;93803;152573;0;33547;352366
2006;Geneva;0;8119657;461239;28715;432524;578899;288496;89097;65564;117788;7564;10389;1951091;585882;75820;292342;169569;24420;711013;0;92045;78455;17210;27793;2907;30544;0;1746972;1568799;87341;79985;0;10847;1757522;231365;402198;402185;46520;194926;94678;385651;0;0;309045;136592;170618;1835;0;160401;2149;100165;10837;9503;3818;0;12811;21117;390470;30026;7434;5308;485;42899;298888;5430;0;685563;146571;159095;0;14492;365405
2007;Geneva;0;8176502;446664;24274;422390;611696;306582;91648;66739;125781;8918;12027;1974077;603762;79685;310028;169832;21910;700948;0;87911;91745;17082;34749;2083;37831;0;1687115;1500854;91441;82875;0;11945;1923475;269687;420656;429486;64369;172291;136018;423586;0;7382;391275;145516;243880;1879;0;182650;1692;128625;13485;10923;3986;0;10801;13139;193972;32246;7680;4789;485;13872;128116;6785;0;673833;119084;177935;0;14404;362409
2008;Geneva;48982000;8430008;449288;25407;423881;653251;326397;101367;74036;129323;9022;13106;2334411;643781;82505;325448;176889;10351;841476;169313;84649;105778;19272;29101;3278;54127;0;1218777;880695;118075;88025;115230;16751;1576547;254491;237973;259853;50689;143110;139848;490583;0;0;556188;239813;316285;90;0;79515;0;20958;17028;6797;2551;85;9748;22348;364591;28056;7913;3158;0;51077;261332;13056;0;1091662;236201;144306;334234;13803;363119
