Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2019;Berne;83337000;11694905;497282;16978;480304;1047831;460576;225646;164027;180448;0;17135;3769520;1294280;225195;510625;191910;97187;999416;357363;93544;188249;52429;49688;61;14882;71190;0;1741703;1429836;124658;70678;106928;9602;2490462;394776;659862;594046;202074;67367;0;569516;0;2820;664234;275293;388941;0;0;148301;16179;11362;5669;65195;22513;10856;2775;13751;770952;618470;42093;9014;5725;41131;0;54517;0;376371;74550;0;187126;17066;97629
2008;Lucerne;23210000;2818009;150127;9685;140442;228793;103803;53376;35141;24228;356;11889;747627;188196;73211;149024;147920;14782;160720;3312;10462;51967;14480;22781;247;13960;499;0;307881;286055;58;6950;0;14818;541317;154795;173019;127721;6605;23586;3164;52286;0;140;247965;179210;68755;0;0;60455;0;3400;970;37504;8612;4558;364;5048;265830;236185;13171;1704;1476;11983;0;1310;0;216046;8489;0;164422;0;43134
2009;Lucerne;22772000;2979038;182555;9737;172818;248230;105031;63029;39229;27478;385;13078;765042;180331;80875;180047;142063;4634;166479;4847;5766;52744;12650;31640;198;7639;618;0;307038;282095;48;9300;0;15594;567158;149195;184595;138199;5303;25739;3387;60655;0;85;295543;192119;103394;30;0;55869;0;2035;1231;32294;9366;3550;297;7097;296903;250535;12091;1851;1709;13215;0;17502;0;207956;8275;0;159134;0;40546
2010;Lucerne;24355000;3066114;160732;11264;149468;277703;132349;63963;41787;27096;428;12080;811093;183899;81249;166036;152292;10036;205640;5982;5959;59249;12469;35750;199;9891;940;0;313883;291953;48;8886;0;12996;606695;165843;178169;162927;4663;27769;3046;64184;0;95;286211;134669;151510;31;0;66029;0;5017;1841;38251;7461;3978;2250;7230;285673;250312;10868;1303;2366;14624;0;6200;0;198846;8277;0;155002;0;35568
2011;Lucerne;24732000;3056269;165849;11136;154713;299247;144860;70599;42298;28051;217;13223;840637;174691;112064;166828;148161;10054;207404;7231;14204;57519;12499;35206;236;8713;865;0;306152;282354;38;8382;0;15378;599053;173437;196488;127599;6636;25444;2744;66611;0;95;242019;122030;119960;30;0;63686;0;5193;1423;27812;8285;12285;2292;6396;283787;250332;11823;1336;2460;11820;0;6016;0;198319;8700;0;156209;0;33410
2012;Lucerne;25203000;3068825;186445;6115;180331;275952;130834;68327;38870;23465;1321;13136;840200;195416;125773;155360;119804;24025;191749;8335;19738;53824;14144;33504;254;5419;504;0;317270;301037;0;12817;0;3416;648156;175260;189789;137242;52610;23821;1998;67368;0;68;177817;105178;72594;44;0;65072;300;4879;1268;20475;8397;14697;5399;9656;296503;260200;11774;1271;2965;11142;0;8716;436;207586;7702;0;154781;11059;34042
2013;Lucerne;25840000;3101810;167946;6093;161853;265471;120178;67752;40660;22710;1250;12920;862083;198828;136379;153763;120630;20733;203985;8075;19689;58243;14480;34828;373;8439;124;0;331696;313789;0;13996;0;3910;649285;179534;189421;133097;55510;24632;1472;65471;0;148;188170;125962;61994;214;0;66968;212;1654;786;26354;8026;12368;4789;12779;288009;254959;12253;1209;2864;8086;0;7800;838;223940;6440;0;177059;11227;29214
2014;Lucerne;26500000;3096296;170955;6372;164583;270073;121372;71913;40764;22099;1310;12616;870525;200427;135318;140173;120141;23677;226632;7330;16827;58592;14359;36353;436;7444;0;0;340693;324080;0;13297;0;3316;654966;167268;196873;136991;55238;24583;1318;72503;0;193;198685;133671;64973;41;0;48551;267;1105;758;13689;5316;12323;4629;10465;280459;251096;11227;1376;3163;8669;0;4061;867;202798;4467;0;159906;11368;27057
2015;Lucerne;26751000;3122459;182124;6087;176037;272982;121926;71672;43709;21117;1331;13226;864541;203505;114549;137716;120359;25708;235763;10072;16870;61962;17695;36945;457;6865;0;0;352999;335488;0;13907;0;3604;686484;175092;199913;140608;53142;25661;1048;90754;0;265;180375;133545;46715;115;0;55318;354;2635;596;20012;6002;9187;5574;10958;264761;237054;11467;1234;2540;9515;0;2272;679;200914;5159;0;158392;11492;25870
2016;Lucerne;27200000;3201589;188220;5961;182259;271242;121472;70317;45099;20607;0;13747;875701;210768;114040;133610;113568;28651;247723;10734;16608;63709;17129;37836;520;8224;0;0;370469;354721;0;12488;0;3260;714183;174080;200069;150265;53440;25603;838;109666;0;221;183140;114140;68935;65;0;65654;406;758;580;32923;5810;9224;4408;11543;264568;236946;11383;1253;2978;7747;0;3960;300;204704;8146;0;160794;11760;24004
2017;Lucerne;27658000;3103852;178741;5962;172779;265338;121472;68908;43487;20119;0;11353;850629;219489;110549;135027;90470;28590;240659;11159;14686;55922;10938;34871;410;9702;0;0;386761;371235;0;12076;0;3450;699634;166169;201209;150244;53921;26472;658;100744;0;218;161031;100719;60232;80;0;45715;310;623;566;17371;5576;7743;4393;9132;264158;232782;10005;1225;2712;6636;0;10496;302;195925;4481;0;158752;12404;20289
2018;Lucerne;28132000;3145156;180683;5870;174813;272962;123919;71463;40933;23130;0;13517;873985;218692;115132;141618;96522;25515;250202;11576;14729;54756;12444;34973;470;6870;0;0;382793;366166;0;12786;0;3841;732826;206993;206165;149585;55279;26734;430;87455;0;186;141727;79869;61777;82;0;48214;661;560;624;23009;6625;6108;4316;6310;261962;234333;15223;1340;2840;6725;0;1271;231;195248;4831;0;159522;12564;18331
2019;Lucerne;28656000;3240736;181204;6706;174498;275081;124741;75522;40959;21711;0;12148;894830;226888;123374;137286;93469;25092;260028;13541;15151;58451;12024;37107;413;8908;0;0;397089;379543;0;12889;0;4658;748600;203046;211953;154003;57400;27065;242;94633;0;258;171171;99906;71183;82;0;52943;799;490;552;28622;6480;4291;3808;7902;263566;236358;11195;1323;2663;5974;0;6036;16;197799;4577;0;163972;12697;16554
2008;Uri;1782000;421782;26864;3371;23493;36078;23858;3053;1078;4030;2048;2012;66492;19564;7489;11147;14192;601;10314;0;3184;4356;891;1804;0;1638;22;0;29587;26305;1704;604;0;974;41199;14227;12678;8286;653;798;0;4487;0;69;128623;123594;4910;119;0;21487;80;4695;104;10450;2922;0;1714;1523;48956;31640;5347;1284;822;3699;0;6164;0;18142;231;0;10244;2327;5340
2009;Uri;1787000;392844;27165;3209;23957;35319;22973;3208;998;3934;2199;2008;65347;19741;7651;12069;11255;1130;10172;0;3328;4901;1015;1870;0;1994;22;0;32898;28785;2395;627;0;1091;44183;14975;14106;8217;589;881;0;5409;0;7;84381;79141;5118;122;0;34181;0;4501;0;24595;1883;0;1749;1453;45541;31475;6335;1799;680;4100;0;1152;0;18927;263;0;10815;2786;5064
2010;Uri;1803000;400400;27637;3357;24280;37739;24293;3524;1043;3862;2140;2877;67950;21657;6803;12281;11826;1770;10461;0;3153;5284;600;2444;0;2217;22;0;34066;29197;2850;568;0;1450;43814;13127;14675;8306;487;1055;0;6164;0;0;76456;71341;4992;123;0;41632;0;3990;1500;30039;2215;398;2117;1374;47676;31821;5955;1633;602;6005;0;1661;0;18146;315;0;10878;2706;4247
2011;Uri;1871000;403998;31562;3147;28415;37802;25125;4008;1340;3821;1271;2236;68018;22111;6203;13206;11128;1973;10961;0;2436;4923;432;2397;0;2072;22;0;39165;34114;2935;598;0;1518;48392;15461;15330;9884;471;1042;0;6205;0;0;66578;61101;5350;127;0;43528;0;4142;0;31828;1809;2083;2074;1592;46399;32087;6008;1421;741;4297;0;1846;0;17631;220;0;10974;3334;3103
2012;Uri;1828000;404575;28053;3167;24886;39136;25112;4353;1795;4472;1241;2163;69992;20379;6770;16062;10877;2035;11223;0;2646;5651;1041;2203;45;2341;22;0;43493;37387;3350;528;0;2229;49932;15572;15316;10002;434;1156;0;7369;0;83;61547;56485;4906;156;0;43859;0;1531;0;32403;2126;4231;1958;1609;47782;31182;7343;1657;482;5618;0;1501;0;15130;248;0;9058;3307;2516
2013;Uri;1896000;398091;29142;3627;25515;40285;25056;4094;1439;6428;1069;2199;67883;20673;6884;14100;10627;2250;10748;0;2601;6102;1316;2341;48;2375;22;0;42611;36340;2935;562;0;2774;50148;15507;15824;10466;436;1039;0;6721;0;155;60592;55148;5227;217;0;38194;0;3061;0;26094;2157;3678;1766;1438;46356;31431;2354;3271;783;6943;0;1575;0;16777;359;0;9278;5059;2081
2014;Uri;1889000;391944;26801;2992;23809;40582;24934;4142;1835;6472;1092;2107;68789;21229;7341;13886;11346;2356;9934;0;2697;6076;1422;2235;65;2326;29;0;42899;36889;2886;536;0;2587;51322;14593;17006;10635;428;935;0;7590;0;136;61471;56013;5317;141;0;31085;0;1359;0;20380;2321;3928;1795;1301;47611;35909;2939;2383;784;3750;0;1846;0;15309;390;0;9041;4275;1602
2015;Uri;1935000;392284;27051;3090;23962;40781;25022;4313;1620;6518;1249;2059;72439;23222;7622;14827;11243;2458;10293;0;2775;6240;1539;2181;81;2417;22;0;47172;40674;3439;478;0;2581;52748;14854;17238;10430;384;958;0;8805;0;80;59109;52948;5929;233;0;27155;0;3042;0;13959;3514;3322;1677;1641;45553;35588;2485;2193;793;2360;0;2134;0;14035;342;0;8622;3807;1263
2016;Uri;1941000;412722;28056;3127;24929;40361;24748;4537;1425;6466;1224;1961;73795;22198;7963;16419;10739;2844;10777;0;2854;6254;1397;2336;37;2462;22;0;49187;41869;4436;508;0;2374;55921;15324;17264;10539;382;981;0;11342;0;90;62442;57093;5059;291;0;26585;0;1778;0;14017;2459;4913;1775;1643;55848;34766;2858;1568;797;13865;0;1994;0;14273;264;0;8529;4735;746
2017;Uri;1916000;433566;28316;3028;25288;41965;25895;4557;1742;6483;1184;2105;77285;21926;7520;20853;10754;2668;10891;0;2673;6596;889;2541;33;3110;22;0;57700;50431;4253;565;0;2452;60333;16187;17465;13616;362;984;0;11603;0;115;66025;61058;4712;255;0;25297;0;2960;0;12472;2917;3820;1776;1352;56319;34299;2625;1501;794;15882;0;1209;9;13729;214;0;8535;4359;621
2018;Uri;1983000;423994;28603;2881;25722;41632;25528;4582;1779;6464;1218;2062;71942;22398;8009;14916;10344;2086;11393;0;2796;7580;1175;2384;18;3981;22;0;54437;46926;4252;706;0;2553;57172;16584;17559;10794;346;958;0;10820;0;111;61642;56769;4633;241;0;25603;0;3542;0;11231;3448;4356;1729;1297;60628;34281;2851;1642;808;18141;0;2905;0;14754;285;0;8843;4122;1505
2019;Uri;2019000;428435;28828;2878;25950;41792;24773;4694;1674;6893;1117;2641;69861;22083;7395;15004;9973;1931;10685;0;2789;8758;1791;2354;48;4544;22;0;59284;51841;4162;721;0;2559;57714;16504;17836;11125;336;1035;0;10781;0;97;60812;55845;4750;217;0;22853;0;0;0;13274;2971;3557;1652;1399;63767;34529;2773;1606;922;19036;0;4901;0;14765;381;0;9552;4139;694
2008;Schwyz;8347000;933850;49005;2402;46603;83572;48616;8463;4695;11388;4930;5479;194567;31394;37356;45152;35974;3407;34942;0;6343;10702;4412;3523;0;2764;4;0;99437;95768;273;2412;0;985;147732;39971;58217;31405;2468;6205;1693;7773;0;0;107843;78384;29416;43;0;19682;62;1187;100;10946;1522;0;2884;2981;96115;87167;5577;1603;0;1708;0;60;0;125195;0;0;117061;1669;6464
2009;Schwyz;8446000;995996;61816;2515;59302;85991;50142;6643;7322;12282;5235;4367;217252;28240;34471;54545;46990;3603;36619;0;12784;13662;7670;2726;0;3262;4;0;106766;102713;1;2918;0;1134;151864;41480;56035;35370;1887;6597;852;9644;0;0;101056;66348;34665;44;0;23842;0;2613;118;12604;2646;0;3027;2835;103555;91796;5255;1662;0;2710;2000;132;0;130191;0;0;122656;1542;5993
2010;Schwyz;8612000;1053754;66527;2535;63991;90922;55035;6907;7850;12435;3869;4826;235319;30276;35398;71368;43581;3478;38630;0;12588;11906;4022;4540;0;3341;4;0;108728;105391;0;2071;0;1266;158327;49509;53763;35422;2014;7221;259;10139;0;0;100397;64369;35981;46;0;26717;0;1506;0;15843;3089;476;3016;2787;106467;93567;5617;1712;0;4176;0;1397;-2;148444;0;0;141584;1366;5493
2011;Schwyz;8598000;1103540;62011;2385;59626;101840;62298;10221;5696;12180;5330;6115;214078;30802;36225;51533;40208;3114;40424;0;11772;11694;2446;5945;0;3300;3;0;121639;118353;1;2119;0;1167;173435;55422;52398;44287;1931;7199;272;11927;0;0;106721;55897;50775;49;0;28123;0;1312;0;13251;2500;5398;3030;2632;105468;93424;5196;1698;0;3857;0;1294;0;178530;0;0;170471;1625;6435
2012;Schwyz;8706000;1151882;67699;2520;65178;99505;62261;10674;6599;9989;4482;5500;207086;31804;35261;48378;36267;3418;40273;0;11686;13275;5259;5250;0;2745;20;0;132965;129504;0;2344;0;1118;180564;57678;54153;46238;2141;6829;246;13279;0;0;115459;75859;39542;57;0;29722;0;1232;235;15153;2843;4268;3236;2756;106213;92166;5002;1821;0;5326;0;1896;0;199395;0;0;192989;1242;5163
2013;Schwyz;9006000;1186514;68801;2482;66319;99599;55090;10572;6861;15818;4894;6366;211648;31812;35504;52743;36123;3171;40539;0;11756;12359;4593;4980;0;2757;29;0;137069;130808;447;2492;0;3321;184197;60007;55699;45127;2214;6688;212;14250;0;0;117056;72398;44601;58;0;28153;0;1118;0;15921;2887;2353;3248;2626;102360;88847;5147;1796;0;5113;0;1457;0;225272;0;0;218011;2045;5217
2014;Schwyz;9084000;1281748;109142;2335;106806;99008;54097;10105;7143;18350;4328;4984;211121;30785;32972;52210;38613;2769;42001;0;11772;17016;7485;6780;0;2721;30;0;147681;141255;585;546;0;5295;197697;65440;56775;51479;2176;6615;232;14980;0;0;128651;87645;40948;58;0;24448;0;901;0;12806;2703;2124;3194;2720;106241;93263;5593;1916;0;5050;0;419;0;240744;0;0;233813;1520;5411
2015;Schwyz;9249000;1271384;78449;2252;76196;101007;53786;10873;7310;19322;4149;5567;207406;31821;33116;48073;35414;2453;45079;0;11450;12807;3687;6038;96;2958;27;0;155337;149161;614;351;0;5211;200002;62184;57900;53016;2223;6824;208;17646;0;0;121499;81784;39656;59;0;26911;0;1311;0;14696;2861;2034;3126;2883;103483;91190;5653;1923;0;4422;0;295;0;264484;0;0;259529;1269;3686
2016;Schwyz;9416000;1265961;60611;2260;58351;97606;52392;11528;7072;17622;5285;3707;210548;32282;32798;41818;35350;10116;47022;270;10892;15897;5077;7798;39;2980;4;0;165699;155893;873;485;0;8448;219445;66985;60989;49231;4642;5948;103;31548;0;0;128913;85755;43099;59;0;25991;419;1166;0;12332;3165;3343;2668;2898;103990;90092;5976;2112;0;5061;0;749;0;237261;1166;0;229304;1088;5704
2017;Schwyz;9578000;1264166;60411;2170;58241;98188;53731;11186;6777;17297;5315;3882;219707;32398;32615;42488;37331;11885;51458;271;11261;15992;5894;6879;50;3165;4;0;172967;162645;871;467;0;8984;232943;72833;63358;52651;5017;6232;103;32750;0;0;119600;76886;42658;56;0;21931;122;411;0;8525;3293;3821;2659;3100;99758;86497;5277;1806;0;5816;0;342;20;222669;1347;0;216669;1624;3030
2018;Schwyz;9834000;1315564;60491;2137;58354;101787;57253;11234;6662;17411;5787;3439;218795;32473;33600;41863;38373;11001;50049;271;11165;14782;5061;6515;47;3155;4;0;175030;165413;811;588;0;8219;253422;78700;66997;56812;4602;6291;87;39934;0;0;119269;76193;43029;47;0;23980;120;385;0;9561;3689;4403;2638;3185;101879;89090;6115;1921;0;4514;0;240;0;246130;1798;0;239784;1034;3515
2019;Schwyz;10082000;1313742;62211;2202;60009;101179;55419;11513;7261;17743;6085;3158;219576;35388;33177;43118;35246;9747;51538;271;11092;13929;4615;6098;77;3135;4;0;176253;166179;883;680;0;8511;246436;74230;68943;58620;4953;6342;71;33278;0;0;115624;69610;45967;47;0;22988;65;524;0;10989;3806;1778;2510;3314;107483;89981;6648;2132;0;5805;0;2918;0;248064;1289;0;242427;1149;3199
2008;Obwalden;2235000;285077;18239;1686;16553;20420;8191;4024;482;4911;801;2011;37512;2004;604;13512;9895;1057;8703;0;1737;4069;1909;1320;0;840;0;0;25796;24130;0;690;0;976;50164;14646;20108;8320;1624;690;592;4158;0;26;59585;53301;6284;0;0;7701;0;0;0;3832;1347;1444;226;852;48828;33149;12271;695;0;1641;0;1072;0;12763;0;0;10525;0;2237
2009;Obwalden;2221000;319865;20223;1817;18406;25096;12089;4095;526;4960;973;2451;58143;3012;5139;14155;23314;1376;9403;0;1744;5033;2340;1593;0;900;200;0;28758;26751;0;718;0;1289;46944;14875;11937;9249;4612;407;772;5084;0;8;61104;49669;11435;0;0;13673;0;0;0;8906;1831;1489;230;1217;48558;35293;8937;687;0;2687;0;953;0;12333;0;0;10842;0;1491
2010;Obwalden;2368000;328156;22920;2086;20833;25095;11121;4553;521;5288;1207;2404;69821;2971;6152;14524;32087;1707;10389;0;1991;5126;2104;1503;0;1319;200;0;27826;25688;0;286;0;1853;47868;17795;11991;9018;3315;233;45;5441;0;31;61328;50746;10320;261;0;9059;0;0;0;3717;1648;1649;237;1808;48438;33559;8783;682;0;3656;0;1757;0;10676;0;0;9936;0;740
2011;Obwalden;2401000;327188;18856;1986;16870;24132;10695;4599;758;5018;1373;1690;60566;1527;7228;15318;20738;1770;10941;0;3044;5731;1834;2143;0;1753;0;0;35334;33081;0;267;0;1986;47935;18551;12410;9018;2282;220;0;5428;0;26;64199;54837;9022;340;0;12168;0;85;0;6765;1990;2661;239;428;48515;34369;6828;636;0;5257;0;1424;0;9753;0;0;9310;0;443
2012;Obwalden;2397000;315206;19424;2059;17365;24339;10538;4380;713;4907;1754;2046;51208;1676;7894;15719;10125;1348;11413;0;3033;5674;2314;2174;0;1088;99;0;39209;35642;620;231;0;2717;49892;19304;12077;8835;2731;266;0;6648;0;30;47835;40621;6894;319;0;28301;0;173;0;23370;1378;2882;0;497;42434;33487;1655;657;0;4845;0;1790;0;6890;465;0;5888;0;536
2013;Obwalden;2406000;310792;21134;2015;19119;26950;11255;5349;933;5757;1712;1944;50604;1787;7776;15706;10377;1710;10284;0;2964;6024;1799;2026;0;2113;86;0;54374;50876;655;225;0;2618;50942;19667;12097;9521;2837;266;0;6525;0;30;29538;20371;8796;371;0;22082;0;78;0;17226;1462;2785;0;532;41101;33371;1609;641;40;3954;0;1485;0;8042;1200;0;6199;0;643
2014;Obwalden;2419000;298389;19491;2067;17424;25434;10041;5066;694;6383;1149;2102;51639;1706;7477;15895;10289;1899;11276;0;3098;5344;1483;2167;0;1617;77;0;49798;45685;677;224;0;3211;49863;17767;12411;10039;3145;254;0;6222;0;25;21711;13029;8313;369;0;25138;0;104;0;20523;1399;2444;0;669;42309;35855;1566;661;0;3031;0;1196;0;7662;496;0;6567;0;600
2015;Obwalden;2436000;283885;19756;2012;17744;26580;9540;5390;758;6796;2056;2041;51432;1718;7326;15693;10015;2017;11475;0;3188;5857;1953;2291;0;1573;40;0;42435;38419;695;225;0;3096;51202;17731;12474;10372;2939;254;0;7406;0;26;19142;12179;6581;382;0;14700;0;86;0;10511;1299;2184;0;619;45096;35650;1460;597;0;5747;0;1642;0;7684;644;0;6358;0;682
2016;Obwalden;2498000;306140;21029;1938;19091;25020;9770;5472;679;6425;979;1695;53793;1562;7508;15481;12108;2281;11756;0;3096;6057;1237;2570;0;2250;0;0;49959;46006;675;254;0;3025;54574;19196;13033;10623;3369;270;0;8058;0;25;22107;13525;8140;442;0;21665;0;87;0;16983;1284;2617;0;694;42359;35188;1409;590;259;4158;0;756;0;9578;579;0;8595;0;404
2017;Obwalden;2502000;287921;21538;2087;19451;25459;9813;5890;502;6154;1298;1801;51585;1680;6783;16162;9784;2382;11551;0;3243;5701;999;3021;0;1682;0;0;40983;37059;736;225;0;2963;56164;20226;14098;11507;3214;270;0;6824;0;25;16514;7935;8216;363;0;20110;0;83;0;15871;1193;2224;0;739;42132;35233;1402;584;355;2317;0;2240;0;7735;455;0;6850;0;430
2018;Obwalden;2549000;310941;20576;1997;18579;27339;9487;5582;972;6296;1297;3705;49592;1542;6928;15686;9206;2253;10916;0;3061;4590;1391;2133;0;1067;0;0;42870;38794;770;238;0;3068;58444;22624;14905;11432;4052;257;0;5149;0;25;19574;6889;12358;327;0;36550;0;64;0;31786;1161;2571;0;968;42268;35079;1279;654;304;2242;0;2710;0;9137;511;0;8211;0;415
2019;Obwalden;2664000;334322;20537;1939;18598;28150;9041;5577;1126;6565;2029;3813;52284;1682;7353;18283;9242;2158;10544;0;3021;4961;1552;2225;0;1183;0;0;43372;39163;808;232;0;3169;57476;21288;14821;11764;3668;265;0;5645;0;25;21441;10129;11161;151;0;44152;0;74;0;40231;1195;1933;0;719;42033;35265;1587;622;306;2182;0;2071;0;19916;481;0;19178;0;257
2008;Nidwalden;2539000;354325;20936;2352;18584;25921;9227;4629;2159;4308;237;5360;48117;2872;3918;13726;12291;1914;10916;0;2480;3902;1995;852;0;971;83;0;48674;46594;45;302;0;1733;43805;13236;10961;6052;6058;266;464;6762;0;6;75887;68011;7802;74;0;8598;0;1665;11;3815;741;28;1761;577;32901;23806;3836;488;468;3854;0;448;0;45584;538;0;32183;8194;4669
2009;Nidwalden;2522000;331531;21813;2597;19216;30544;9726;5326;3007;4617;144;7725;49256;2052;4031;13837;13562;2412;10743;0;2619;4115;1999;928;0;1125;63;0;35045;32801;37;350;0;1856;47330;14438;11502;6101;6196;322;526;8238;0;6;53575;38072;15386;117;0;10254;0;1059;442;5278;1104;119;1752;500;31419;23975;2029;601;471;3721;0;622;0;48179;373;0;35585;7873;4349
2010;Nidwalden;2741000;331082;22100;3249;18851;32703;9211;5750;2335;5002;140;10265;51345;2148;4114;14338;13989;2485;11839;0;2432;5049;1865;2233;0;925;25;0;42979;40672;53;606;0;1648;50674;17771;12061;6501;6844;298;50;7147;0;1;40783;24294;15275;1213;0;13202;0;1261;563;7865;910;330;1572;701;36331;25688;1738;489;396;7621;0;399;0;35917;499;0;22756;8338;4325
2011;Nidwalden;2798000;385203;23276;3549;19727;31114;9953;7032;2292;5150;0;6687;54010;2281;4580;14395;16428;1934;12008;0;2383;6273;1543;3539;0;1145;47;0;89349;85700;1120;449;0;2080;53016;18225;16576;7148;3076;295;66;7629;0;1;40202;22079;15550;2573;0;12063;0;133;59;8012;720;699;1563;876;38450;26051;1872;527;269;8881;0;850;0;37449;860;0;22752;9761;4076
2012;Nidwalden;2876000;327888;23363;3088;20275;32616;10090;8624;2505;5579;0;5819;59454;2184;4553;14819;19981;2447;13149;0;2321;4911;1704;2280;0;867;60;0;45288;41593;1190;451;0;2053;55983;18093;16900;7719;4962;286;103;7921;0;0;30152;15541;11334;3276;0;6066;0;135;0;2535;817;370;1645;563;33938;24573;4764;530;259;3474;0;339;0;36118;440;0;22797;9580;3301
2013;Nidwalden;3075000;333605;24228;3233;20994;32788;9893;7905;3233;6309;0;5448;57097;2127;4092;14999;18721;2450;12508;0;2200;5672;2021;2434;0;1196;21;0;46807;43169;1415;455;0;1768;59998;18802;17726;8428;4690;322;57;9973;0;0;26475;12217;12743;1515;0;6966;0;0;64;3406;816;447;1609;625;34441;24935;4174;515;197;3924;0;696;0;39132;698;0;25975;9593;2866
2014;Nidwalden;3170000;331728;25524;3227;22297;34211;10510;8171;3205;6736;0;5587;51133;1954;4357;13792;14424;2418;11898;30;2261;5737;1739;2813;0;1156;29;0;46270;42423;1581;175;0;2091;57622;15028;17999;9297;4371;390;51;10466;0;19;24801;10304;13768;730;0;11879;0;0;0;8581;783;412;1506;597;36582;26364;4463;529;162;4517;0;463;85;37969;948;0;27603;6533;2885
2015;Nidwalden;2999000;334405;25443;3219;22224;36111;11353;9089;3055;6822;0;5792;52798;1977;4467;14944;13043;2724;13248;14;2382;5938;2200;2641;0;1073;25;0;46273;42715;1638;172;0;1749;58500;13850;19356;8606;4862;340;50;11434;0;3;25162;11742;12544;876;0;9491;0;0;0;6073;816;399;1530;673;33637;24905;4114;574;178;3481;0;386;0;41051;539;0;30359;7407;2746
2016;Nidwalden;2940000;350877;23611;3012;20598;34980;11551;8550;2778;6753;0;5347;53510;2111;4924;15034;12712;2864;13611;14;2239;6374;2667;2433;0;1197;77;0;49637;45630;1897;180;0;1931;63378;13853;21109;8811;5383;373;249;13597;0;5;23198;10962;11570;667;0;9804;0;0;0;6086;863;736;1518;602;34179;24544;3559;605;240;4979;0;252;0;52205;599;0;41643;7382;2582
2017;Nidwalden;3058000;359542;24174;2920;21254;34143;11380;8223;2534;7115;0;4892;52995;2049;4728;14726;12915;2741;13595;17;2224;5227;1642;2372;0;1188;26;0;54955;50175;2557;222;0;2002;62389;16311;17670;10018;4518;407;101;13356;0;9;25832;14731;10319;782;0;8187;0;0;0;4492;851;819;1499;525;36280;24430;3572;512;1434;6095;0;238;0;55359;548;0;47426;5001;2384
2018;Nidwalden;3103000;385394;25024;3268;21756;35012;11587;8141;2393;7251;0;5641;53650;2179;5061;14851;13188;2563;13592;20;2196;6310;2371;2544;0;1375;20;0;53725;48739;2998;218;0;1771;61313;15348;17466;10010;4916;384;7;13175;0;6;34262;12909;10588;10765;0;11474;0;0;0;8072;838;441;1546;576;37050;25002;4181;499;1623;4239;0;1506;0;67573;1574;0;55059;8376;2564
2019;Nidwalden;3088000;392907;25953;3438;22515;35715;12085;8205;2389;7254;0;5783;52112;2127;5048;14485;12667;2245;13219;17;2305;5994;2074;2203;0;1697;20;0;57354;52081;2986;248;0;2038;64250;17969;17402;10557;4762;364;7;13182;0;7;31526;14011;16835;681;0;15852;0;0;0;11938;860;870;1528;657;34581;25055;1524;620;1709;4513;0;1161;0;69570;669;0;56855;9728;2317
2008;Glarus;2547000;387963;21601;1843;19759;26165;12442;4795;947;4977;0;3004;81017;31993;8770;17393;10981;91;11038;0;750;3927;606;2227;0;1094;0;0;56727;54702;96;773;0;1156;60605;11681;14166;9182;4585;2315;10;18665;0;0;18570;13407;5049;115;0;9821;0;110;0;7705;644;4;1357;0;57219;24210;3783;893;2070;1262;25000;0;0;52311;0;0;647;47020;4643
2009;Glarus;2479000;377000;21813;1787;20026;27543;13265;5752;872;4977;0;2677;83523;33321;9268;17745;10827;73;11505;0;785;4299;719;2514;87;979;0;0;58572;56290;762;762;0;758;64189;13018;13856;10347;4628;2704;0;19636;0;0;17908;12026;5881;0;0;10378;0;196;0;7116;1001;11;2055;0;34579;25405;6041;894;0;1593;0;646;0;54197;0;0;647;49238;4311
2010;Glarus;2544000;380764;21166;1950;19216;30127;12995;6153;1214;6418;0;3346;85211;33772;10489;16929;10719;107;12341;0;854;4769;913;2820;40;996;0;0;58991;56571;814;783;0;824;69301;14870;14725;11319;4618;2772;0;20997;0;0;18492;12899;5593;0;0;10407;0;152;0;7555;1082;0;1618;0;34750;25248;5381;850;0;1554;0;1716;0;47551;0;0;647;43566;3338
