Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1993,538451,21717,1714,20003,,,44027,22415,3962,1075,4211,2398,9966,,141906,45105,7804,43402,26416,3136,13399,,2645,6781,3618,1452,,1691,20,,13323,10803,839,1353,,329,71667,560,15447,25677,1426,13025,3447,12085,,,62894,45263,17604,26,,,14543,12,4112,81,6215,652,,1997,,1475,110977,76823,23171,952,,1,10000,30,,,50616,,812,13698,,21020,15086,,,Schwyz
1994,523365,22738,1717,21021,,,44348,22734,3884,1079,4721,2253,9678,,125873,44330,7930,25382,26918,3292,15051,,2972,6909,3827,1431,,1636,15,,12143,9401,1006,1399,,337,73789,667,19399,27081,1493,9647,3678,11824,,,60214,43415,16792,7,,,13542,3,4694,129,4136,723,,2151,,1707,107319,77710,18597,962,,1,10000,48,,,56490,,3074,10860,,26818,15738,,,Schwyz
1995,515292,23564,1725,21838,,,46826,24215,4532,1338,4926,2488,9326,,131248,46479,8175,26849,28843,3078,14945,,2880,6431,3409,1350,,1658,15,,13683,10674,1162,1495,,351,71412,6320,16841,27427,1734,2228,4135,12728,,,64953,47463,16959,530,,,13266,20,3519,109,5022,690,,1977,,1928,91185,66374,13825,972,,0,10000,14,,,52725,,1863,10394,,23289,17178,,,Schwyz
1996,565051,24742,1735,23007,,,47034,23842,4983,1689,4479,2570,9471,,131699,43631,9014,29738,27926,3598,14944,,2847,6478,3490,1472,,1502,15,,20485,17804,886,1462,,333,102302,25766,17762,24633,1636,15056,3934,13514,,,70159,52869,17142,147,,,15084,20,4914,2304,2965,739,,2056,,2086,95432,78995,15363,1063,,1,,10,,,51638,,2747,10025,,21643,17223,,,Schwyz
1997,624285,25517,1762,23756,,,52477,29715,5266,1653,5038,2420,8385,,152716,47082,9434,32042,41205,4462,15125,,3366,6444,3178,1505,,1746,15,,28736,26643,374,1448,,271,118906,21839,21937,26584,2127,27198,4336,14885,,,69427,52395,16892,139,,,18095,19,6309,2944,3829,859,,2027,,2107,97630,80355,16166,1094,,1,,14,,,54335,,2426,9446,,27399,15065,,,Schwyz
1998,636818,27618,1816,25802,,,51575,29533,5555,1764,5046,2425,7251,,150427,48923,9778,33094,24782,22613,7727,,3510,6994,3301,1522,,2156,15,,38366,35334,354,2381,,296,125007,22913,24506,28802,1473,26930,4490,15894,,,70312,58759,11553,,,,17857,18,5899,3246,3015,1166,,2086,,2428,92630,77264,13941,1095,,326,,5,,,56032,,2178,9323,,28905,15625,,,Schwyz
1999,640801,28495,2003,26492,,,51856,30950,5623,1800,4682,2080,6721,,154460,49414,10796,32983,35514,11766,10113,,3875,7678,3327,2224,,2127,,,34549,31382,319,2558,,290,120576,28310,25182,34071,1622,6354,4110,20926,,,68675,55281,13394,,,,18912,20,7655,2725,2788,1025,,2343,,2357,97756,80940,15567,1097,,144,,9,,,57843,,3376,12706,,25638,16123,,,Schwyz
2000,696022,30966,2050,28917,,,53795,32908,5985,1681,4972,2236,6011,,164520,59878,12358,33794,32932,5821,16325,,3413,7733,3201,2464,,2068,,,50761,47418,321,2737,,284,120447,27487,28025,34989,1616,5446,3523,19361,,,73560,58449,15111,,,,19363,20,7621,2916,2580,1263,,2247,,2718,108620,83307,24096,1046,,145,,26,,,66257,,3530,16338,,31282,15107,,,Schwyz
2001,698160,36633,2009,34624,,,57253,35205,6227,1813,5614,2654,5740,,163596,50514,13786,35820,33417,5604,20921,,3533,8807,4077,2730,,1999,,,47316,42751,284,3941,,340,127415,28445,34644,39446,1659,4670,3530,15022,,,80798,63766,17032,,,,15838,20,6364,1532,997,1600,,2675,,2652,98612,80864,16326,1242,,153,,27,,,61891,,4889,12904,,30819,13279,,,Schwyz
2002,817739,37582,2113,35469,,,59657,36496,7261,1604,5822,2778,5696,,147907,30705,14515,32679,39673,2668,23844,,3823,9002,4282,2937,,1782,,,65681,61036,276,4155,,214,147233,43521,36195,40608,2487,4596,3505,16321,,,80618,65967,14651,,,,14615,7,4521,584,2327,1610,,2561,,3006,103630,83740,18461,1205,,160,,64,,,151816,,21878,60796,,55705,13437,,,Schwyz
2003,813204,33423,1998,31425,,,61182,37536,7545,1686,6385,2896,5135,,162081,32339,18090,33679,41338,2602,29986,,4047,9339,4490,2677,,2171,,,64371,60658,353,2988,,372,170968,51399,43379,45711,2634,5780,3656,18409,,,89217,72507,16711,,,,13326,77,1802,195,1113,4289,,2712,,3139,104707,84185,19131,1202,,155,,35,,,104590,,4593,67801,,21797,10398,,,Schwyz
2004,880119,35705,2022,33683,,,72298,46252,7807,2517,7547,2895,5281,,160618,34044,18377,31941,39171,2964,29621,,4501,12424,4662,2190,,5572,,,107445,103685,382,2661,,717,171824,51784,43784,46306,2460,6071,3091,18328,,,88832,70669,18163,,,,12537,57,1024,60,2262,3266,,2520,,3349,100158,84295,14493,1147,,169,,55,,,118277,,5028,69498,,31420,12331,,,Schwyz
2005,862819,38282,1991,36291,,,81432,54101,8251,2663,8619,2805,4993,,172133,35392,20784,31752,37199,3223,39657,,4125,9991,4405,3464,,2122,,,107088,104241,268,1410,,1169,167943,40775,49444,50268,2308,7007,3779,14361,,,79978,57087,22892,,,,9837,37,833,130,1456,1306,,2590,,3485,98797,83679,13626,1099,,337,,55,,,97338,,5282,62781,,20052,9222,,,Schwyz
2006,888757,41249,2119,39130,,,81373,52799,8285,3317,8011,3811,5151,,178609,33090,21395,34530,35148,3006,47390,,4048,10782,4504,3241,,3037,,,107585,104407,265,1826,,1087,167660,43562,46303,51618,2436,7397,2438,13907,,,74324,50977,23347,,,,12608,14,1274,89,3510,1922,,2535,,3264,105952,89738,14624,1232,,329,,28,,,108616,,7807,61615,,30847,8347,,,Schwyz
2007,898308,47343,2475,44869,,,81945,48430,8472,4003,8171,7945,4925,,175851,39529,25030,38011,32567,492,36294,,3928,11416,4096,4679,,2641,,,104798,101524,354,1968,,952,174120,45029,52912,51322,2247,7025,2198,13386,,,74048,52267,21780,,,,15518,13,1818,1066,4622,1792,,2681,,3525,103594,91543,10571,1229,,206,,45,,,109673,,5746,61257,,34046,8624,,,Schwyz
2008,933850,49005,2402,46603,,,83572,48616,8463,4695,11388,4930,5479,,194567,31394,37356,45152,35974,3407,34942,,6343,10702,4412,3523,,2764,4,,99437,95768,273,2412,,985,147732,39971,58217,31405,2468,6205,1693,7773,,,107843,78384,29416,43,,,19682,62,1187,100,10946,1522,,2884,,2981,96115,87167,5577,1603,,1708,,60,,,125195,,,117061,,1669,6464,,,Schwyz
2009,995996,61816,2515,59302,,,85991,50142,6643,7322,12282,5235,4367,,217252,28240,34471,54545,46990,3603,36619,,12784,13662,7670,2726,,3262,4,,106766,102713,1,2918,,1134,151864,41480,56035,35370,1887,6597,852,9644,,,101056,66348,34665,44,,,23842,,2613,118,12604,2646,,3027,,2835,103555,91796,5255,1662,,2710,2000,132,,,130191,,,122656,,1542,5993,,,Schwyz
2010,1053754,66527,2535,63991,,,90922,55035,6907,7850,12435,3869,4826,,235319,30276,35398,71368,43581,3478,38630,,12588,11906,4022,4540,,3341,4,,108728,105391,,2071,,1266,158327,49509,53763,35422,2014,7221,259,10139,,,100397,64369,35981,46,,,26717,,1506,,15843,3089,476,3016,,2787,106467,93567,5617,1712,,4176,,1397,,-2,148444,,,141584,,1366,5493,,,Schwyz
2011,1103540,62011,2385,59626,,,101840,62298,10221,5696,12180,5330,6115,,214078,30802,36225,51533,40208,3114,40424,,11772,11694,2446,5945,,3300,3,,121639,118353,1,2119,,1167,173435,55422,52398,44287,1931,7199,272,11927,,,106721,55897,50775,49,,,28123,,1312,,13251,2500,5398,3030,,2632,105468,93424,5196,1698,,3857,,1294,,,178530,,,170471,,1625,6435,,,Schwyz
2012,1151882,67699,2520,65178,,,99505,62261,10674,6599,9989,4482,5500,,207086,31804,35261,48378,36267,3418,40273,,11686,13275,5259,5250,,2745,20,,132965,129504,,2344,,1118,180564,57678,54153,46238,2141,6829,246,13279,,,115459,75859,39542,57,,,29722,,1232,235,15153,2843,4268,3236,,2756,106213,92166,5002,1821,,5326,,1896,,,199395,,,192989,,1242,5163,,,Schwyz
2013,1186514,68801,2482,66319,,,99599,55090,10572,6861,15818,4894,6366,,211648,31812,35504,52743,36123,3171,40539,,11756,12359,4593,4980,,2757,29,,137069,130808,447,2492,,3321,184197,60007,55699,45127,2214,6688,212,14250,,,117056,72398,44601,58,,,28153,,1118,,15921,2887,2353,3248,,2626,102360,88847,5147,1796,,5113,,1457,,,225272,,,218011,,2045,5217,,,Schwyz
2014,1281748,109142,2335,106806,,,99008,54097,10105,7143,18350,4328,4984,,211121,30785,32972,52210,38613,2769,42001,,11772,17016,7485,6780,,2721,30,,147681,141255,585,546,,5295,197697,65440,56775,51479,2176,6615,232,14980,,,128651,87645,40948,58,,,24448,,901,,12806,2703,2124,3194,,2720,106241,93263,5593,1916,,5050,,419,,,240744,,,233813,,1520,5411,,,Schwyz
2015,1271384,78449,2252,76196,,,101007,53786,10873,7310,19322,4149,5567,,207406,31821,33116,48073,35414,2453,45079,,11450,12807,3687,6038,96,2958,27,,155337,149161,614,351,,5211,200002,62184,57900,53016,2223,6824,208,17646,,,121499,81784,39656,59,,,26911,,1311,,14696,2861,2034,3126,,2883,103483,91190,5653,1923,,4422,,295,,,264484,,,259529,,1269,3686,,,Schwyz
2016,1265961,60611,2260,58351,,,97606,52392,11528,7072,17622,5285,3707,,210548,32282,32798,41818,35350,10116,47022,270,10892,15897,5077,7798,39,2980,4,,165699,155893,873,485,,8448,219445,66985,60989,49231,4642,5948,103,31548,,,128913,85755,43099,59,,,25991,419,1166,,12332,3165,3343,2668,,2898,103990,90092,5976,2112,,5061,,749,,,237261,1166,,229304,,1088,5704,,,Schwyz
2017,1264166,60411,2170,58241,,,98188,53731,11186,6777,17297,5315,3882,,219707,32398,32615,42488,37331,11885,51458,271,11261,15992,5894,6879,50,3165,4,,172967,162645,871,467,,8984,232943,72833,63358,52651,5017,6232,103,32750,,,119600,76886,42658,56,,,21931,122,411,,8525,3293,3821,2659,,3100,99758,86497,5277,1806,,5816,,342,,20,222669,1347,,216669,,1624,3030,,,Schwyz
2018,1315564,60491,2137,58354,,,101787,57253,11234,6662,17411,5787,3439,,218795,32473,33600,41863,38373,11001,50049,271,11165,14782,5061,6515,47,3155,4,,175030,165413,811,588,,8219,253422,78700,66997,56812,4602,6291,87,39934,,,119269,76193,43029,47,,,23980,120,385,,9561,3689,4403,2638,,3185,101879,89090,6115,1921,,4514,,240,,,246130,1798,,239784,,1034,3515,,,Schwyz
2019,1313742,62211,2202,60009,,,101179,55419,11513,7261,17743,6085,3158,,219576,35388,33177,43118,35246,9747,51538,271,11092,13929,4615,6098,77,3135,4,,176253,166179,883,680,,8511,246436,74230,68943,58620,4953,6342,71,33278,,,115624,69610,45967,47,,,22988,65,524,,10989,3806,1778,2510,,3314,107483,89981,6648,2132,,5805,,2918,,,248064,1289,,242427,,1149,3199,,,Schwyz
2020,1389831,65666,2230,63436,,,101183,54437,12370,7252,18406,5387,3332,,222936,35267,36358,42573,34169,9772,53083,271,11443,17949,6110,9116,9,2711,4,,201475,188875,781,2432,,9388,245011,72305,70326,59245,5897,6560,28,30650,,,115720,64637,51036,47,,,22049,28,864,,9070,3980,2216,2566,,3325,113162,89363,6481,1918,,13137,,2262,,,284680,1765,,266953,,13005,2957,,,Schwyz
1990,170421,18617,1199,17419,,,14138,6287,1825,131,2164,603,3127,,16476,1119,1453,5642,5142,348,2122,,650,1831,324,748,,750,10,,22702,22017,,578,,107,11738,78,1992,4646,494,962,1871,1694,,,33963,32685,1224,55,,,6820,,1444,120,3713,358,,891,,295,39147,20348,17550,593,157,329,,170,,1,4989,,81,1300,,516,3092,,,Obwalden
1991,181217,11364,1437,9927,,,15619,7688,1968,96,2453,570,2844,,21319,1306,1450,6588,8739,476,2018,,741,2781,704,1027,,1004,45,,23838,22921,3,783,,131,14941,78,2249,5853,578,1353,2325,2505,,,39250,38319,915,17,,,7544,,1152,63,4656,355,,963,,354,37156,22687,12880,636,213,375,,365,,1,7404,,57,1300,,1800,4247,,,Obwalden
1992,199309,10311,1502,8809,,,15785,7501,2085,130,2663,777,2630,,27612,1336,2434,6233,13946,574,2337,,752,2908,803,741,,1233,131,,25534,24636,1,648,,248,20312,77,2562,7522,641,4971,2118,2420,,,49321,48099,1222,,,,6266,,406,96,4169,500,,788,,308,32822,23377,8032,635,234,371,,169,,4,8438,,87,1300,,2229,4821,,,Obwalden
1993,243847,10693,1546,9147,,,16612,7869,2077,209,2768,699,2989,,23965,1866,2146,6264,9573,816,2519,,781,2608,899,795,,904,10,,28015,26905,2,842,,266,30789,77,3173,9044,603,12695,2576,2622,,,75963,75166,797,,,,9411,,1104,49,6480,727,,766,,285,37187,25305,8326,669,234,323,2000,328,,1,8604,,40,1300,,1936,5328,,,Obwalden
1994,242597,11275,1759,9516,,,16744,7981,2368,323,2845,986,2240,,22963,1566,3016,6723,7154,843,2778,,884,3760,1464,726,,1561,9,,35373,34154,0,949,,271,27921,75,3375,8765,611,10605,1896,2593,,,68762,67535,1227,,,,7226,,752,23,4366,851,,918,,317,39639,26482,8951,746,235,322,,2898,,4,8934,,85,2173,,995,5681,,,Obwalden
1995,236994,11998,1637,10360,,,18794,8157,2338,335,4451,1116,2397,,24826,1566,3367,6882,7862,891,3330,,927,2985,746,760,,1469,10,,42558,41229,1,1018,,310,27892,2368,3398,8726,672,7647,2179,2900,,,58444,57565,822,57,,,4869,,143,-18,2578,1046,,818,,302,35149,24372,9015,698,279,289,,495,,1,9480,,108,2469,,1123,5780,,,Obwalden
1996,262565,12448,1683,10765,,,20320,8888,2224,209,5663,1390,1946,,24821,1671,2289,7255,8010,999,3679,,917,2906,1251,720,,935,1,,44653,43256,2,1019,,375,36522,6135,4238,8970,630,10983,1888,3677,,,62580,61216,1276,88,,,7447,,159,121,4982,1052,,857,,277,40300,28265,9553,719,284,270,,1208,,,10568,900,64,2407,,1318,5879,,,Obwalden
1997,248233,14425,1447,12978,,,18772,8690,2515,278,4324,1152,1814,,24883,1648,1649,7093,8508,1221,3739,,1025,3042,1637,624,,773,9,,39718,38307,2,1010,,399,41550,8444,4278,7294,849,15051,1820,3812,,,45841,44566,1274,,,,10090,,392,617,6881,1108,,877,,215,39671,28996,8798,647,284,276,,669,,,10241,,,2408,,1709,6124,,,Obwalden
1998,231593,11210,1472,9738,,,19538,8829,2610,346,4801,1402,1550,,25948,1560,1817,7741,8422,3189,2239,,981,2550,1183,619,,748,,,39364,37986,4,909,,466,37442,6344,4281,7773,591,12948,1567,3938,,,34491,33015,1476,,,,12224,,54,-34,10167,1045,,795,,198,38816,27431,8371,640,149,1605,,620,,,10010,,92,2195,,2071,5652,,,Obwalden
1999,223695,12409,1443,10966,,,18729,8848,2479,291,4864,1059,1188,,26738,1586,1733,7418,8343,3281,2634,,1742,2677,1210,780,,687,0,,39631,38164,,720,,746,32343,6934,4367,8422,801,5343,1266,5209,,,31327,29801,1526,,,,5262,,235,5,3710,1059,,,,254,44528,31939,10273,655,160,463,,1038,,,10052,,,2250,,2068,5734,,,Obwalden
2000,257956,13429,1637,11792,,,20612,9570,2570,305,5799,1250,1119,,27725,1394,2070,7877,8355,2017,4266,,1745,2653,1068,924,,661,0,,42496,41012,,1060,,424,31130,11391,4868,8375,749,437,1175,4134,,,38631,37058,1573,,,,8106,,727,0,5441,1673,,,,265,61889,32547,27424,605,145,498,,670,,,11285,987,147,2161,,1980,6010,,,Obwalden
2001,270314,14858,1669,13189,,,19804,8596,2709,376,5803,870,1451,,29818,1640,2192,7571,8263,2301,6121,,1729,3725,1347,793,,1585,,,43608,41457,,1611,,540,32589,12063,4748,9623,756,490,1305,3604,,,48060,45189,2870,,,,12873,,1208,37,9807,1386,,189,,245,54683,32192,19786,657,164,1090,,794,,,10297,169,152,2336,,1873,5767,,,Obwalden
2002,291929,17249,1667,15582,,,21274,9504,3129,314,5440,1559,1328,,37021,1800,2357,8354,13869,2320,6457,,1863,3211,1364,1113,,734,,,44148,41726,,1722,,701,35503,14534,5269,8880,611,485,1381,4343,,,53890,50523,3367,,,,14520,,858,20,11834,1363,,185,,259,55513,31377,21516,681,157,1112,,670,,,9598,,,2214,,2240,5144,,,Obwalden
2003,285135,16872,1642,15230,,,20869,7962,3357,315,6221,1733,1281,,34524,1984,3252,9680,8710,1785,7096,,2016,3543,1281,1224,,1038,,,45606,43010,,1130,,1466,37486,14928,5379,8911,891,568,1550,5259,,,59947,54293,5580,74,,,9965,,700,36,7811,1339,,40,,40,46715,31565,12003,519,,1117,,1510,,,9609,,,2321,,2509,4779,,,Obwalden
2004,282611,17410,1699,15711,,,19474,7855,3342,282,5619,1276,1100,,36490,1950,3210,9686,9721,1562,8460,,1902,3585,1402,1231,,853,100,,43975,42099,,1130,,747,37958,15894,5895,9156,901,565,1468,4079,,,63783,57816,5966,,,,7221,,1250,,4310,1213,,279,,170,43628,31244,10152,665,,862,,704,,,9087,,288,2382,,1923,4495,,,Obwalden
2005,286236,19497,1687,17811,,,24602,9049,3738,425,5028,1381,4981,,36803,2099,3203,15349,9195,1068,4051,,1838,4346,1788,1289,,1069,200,,42026,40443,,958,,624,38300,15927,5972,8836,876,578,1446,4640,,26,59528,55562,3966,,,,5969,,1093,,2849,1368,,240,,419,46958,31138,13624,645,,872,,678,,,8208,,,2438,,1771,3999,,,Obwalden
2006,318032,27286,1698,25588,,,20738,7931,3631,407,5192,1606,1971,,48561,1848,3375,21259,10231,506,9605,,1737,4426,1666,1500,,1061,200,,46074,44529,,981,,563,40061,17886,6072,9620,902,591,594,4364,,30,52026,47035,4991,,,,7043,,985,,3887,1423,,257,,491,57322,34295,20318,682,,1052,,974,,,14496,,,9472,,1860,3165,,,Obwalden
2007,323113,25326,1775,23551,,,20769,8113,3835,530,5310,1436,1545,,40434,1906,4187,12576,10362,449,9178,,1774,5913,3429,1534,,950,,,50327,48644,,1129,,554,42766,19397,7815,9727,825,615,524,3832,,31,61096,57796,3300,,,,7502,,725,,4429,1246,,306,,797,54814,33399,18121,682,,1497,,1116,,,14165,,,9436,,1994,2735,,,Obwalden
2008,285077,18239,1686,16553,,,20420,8191,4024,482,4911,801,2011,,37512,2004,604,13512,9895,1057,8703,,1737,4069,1909,1320,,840,,,25796,24130,,690,,976,50164,14646,20108,8320,1624,690,592,4158,,26,59585,53301,6284,,,,7701,,,,3832,1347,1444,226,,852,48828,33149,12271,695,,1641,,1072,,,12763,,,10525,,,2237,,,Obwalden
2009,319865,20223,1817,18406,,,25096,12089,4095,526,4960,973,2451,,58143,3012,5139,14155,23314,1376,9403,,1744,5033,2340,1593,,900,200,,28758,26751,,718,,1289,46944,14875,11937,9249,4612,407,772,5084,,8,61104,49669,11435,,,,13673,,,,8906,1831,1489,230,,1217,48558,35293,8937,687,,2687,,953,,,12333,,,10842,,,1491,,,Obwalden
2010,328156,22920,2086,20833,,,25095,11121,4553,521,5288,1207,2404,,69821,2971,6152,14524,32087,1707,10389,,1991,5126,2104,1503,,1319,200,,27826,25688,,286,,1853,47868,17795,11991,9018,3315,233,45,5441,,31,61328,50746,10320,261,,,9059,,,,3717,1648,1649,237,,1808,48438,33559,8783,682,,3656,,1757,,,10676,,,9936,,,740,,,Obwalden
2011,327188,18856,1986,16870,,,24132,10695,4599,758,5018,1373,1690,,60566,1527,7228,15318,20738,1770,10941,,3044,5731,1834,2143,,1753,,,35334,33081,,267,,1986,47935,18551,12410,9018,2282,220,,5428,,26,64199,54837,9022,340,,,12168,,85,,6765,1990,2661,239,,428,48515,34369,6828,636,,5257,,1424,,,9753,,,9310,,,443,,,Obwalden
2012,315206,19424,2059,17365,,,24339,10538,4380,713,4907,1754,2046,,51208,1676,7894,15719,10125,1348,11413,,3033,5674,2314,2174,,1088,99,,39209,35642,620,231,,2717,49892,19304,12077,8835,2731,266,,6648,,30,47835,40621,6894,319,,,28301,,173,,23370,1378,2882,,,497,42434,33487,1655,657,,4845,,1790,,,6890,465,,5888,,,536,,,Obwalden
2013,310792,21134,2015,19119,,,26950,11255,5349,933,5757,1712,1944,,50604,1787,7776,15706,10377,1710,10284,,2964,6024,1799,2026,,2113,86,,54374,50876,655,225,,2618,50942,19667,12097,9521,2837,266,,6525,,30,29538,20371,8796,371,,,22082,,78,,17226,1462,2785,,,532,41101,33371,1609,641,40,3954,,1485,,,8042,1200,,6199,,,643,,,Obwalden
2014,298389,19491,2067,17424,,,25434,10041,5066,694,6383,1149,2102,,51639,1706,7477,15895,10289,1899,11276,,3098,5344,1483,2167,,1617,77,,49798,45685,677,224,,3211,49863,17767,12411,10039,3145,254,,6222,,25,21711,13029,8313,369,,,25138,,104,,20523,1399,2444,,,669,42309,35855,1566,661,,3031,,1196,,,7662,496,,6567,,,600,,,Obwalden
2015,283885,19756,2012,17744,,,26580,9540,5390,758,6796,2056,2041,,51432,1718,7326,15693,10015,2017,11475,,3188,5857,1953,2291,,1573,40,,42435,38419,695,225,,3096,51202,17731,12474,10372,2939,254,,7406,,26,19142,12179,6581,382,,,14700,,86,,10511,1299,2184,,,619,45096,35650,1460,597,,5747,,1642,,,7684,644,,6358,,,682,,,Obwalden
2016,306140,21029,1938,19091,,,25020,9770,5472,679,6425,979,1695,,53793,1562,7508,15481,12108,2281,11756,,3096,6057,1237,2570,,2250,,,49959,46006,675,254,,3025,54574,19196,13033,10623,3369,270,,8058,,25,22107,13525,8140,442,,,21665,,87,,16983,1284,2617,,,694,42359,35188,1409,590,259,4158,,756,,,9578,579,,8595,,,404,,,Obwalden
2017,287921,21538,2087,19451,,,25459,9813,5890,502,6154,1298,1801,,51585,1680,6783,16162,9784,2382,11551,,3243,5701,999,3021,,1682,,,40983,37059,736,225,,2963,56164,20226,14098,11507,3214,270,,6824,,25,16514,7935,8216,363,,,20110,,83,,15871,1193,2224,,,739,42132,35233,1402,584,355,2317,,2240,,,7735,455,,6850,,,430,,,Obwalden
2018,310941,20576,1997,18579,,,27339,9487,5582,972,6296,1297,3705,,49592,1542,6928,15686,9206,2253,10916,,3061,4590,1391,2133,,1067,,,42870,38794,770,238,,3068,58444,22624,14905,11432,4052,257,,5149,,25,19574,6889,12358,327,,,36550,,64,,31786,1161,2571,,,968,42268,35079,1279,654,304,2242,,2710,,,9137,511,,8211,,,415,,,Obwalden
2019,334322,20537,1939,18598,,,28150,9041,5577,1126,6565,2029,3813,,52284,1682,7353,18283,9242,2158,10544,,3021,4961,1552,2225,,1183,,,43372,39163,808,232,,3169,57476,21288,14821,11764,3668,265,,5645,,25,21441,10129,11161,151,,,44152,,74,,40231,1195,1933,,,719,42033,35265,1587,622,306,2182,,2071,,,19916,481,,19178,,,257,,,Obwalden
2020,349090,21426,1903,19523,,,25916,9676,5398,1275,6532,1664,1371,,51446,1474,6839,18555,8367,2271,10835,,3103,4711,1476,2296,,939,,,47646,42813,813,529,,3490,56604,19985,14944,12201,3209,301,,5938,,25,27536,17831,9671,34,,,50991,,77,,47150,1203,1899,,,662,46423,34997,2576,625,366,6442,,1416,,,16393,307,,15852,,,234,,,Obwalden
1990,154210,8304,1201,7103,,,17704,7090,2158,946,3919,13,3579,,19227,2489,1439,5632,5344,547,2539,,1237,6215,2840,2587,10,442,337,,23882,23415,48,352,,68,12753,32,3624,6692,421,168,849,694,,274,22138,19274,2666,199,,,8063,24,2887,1549,3189,209,,35,,169,21180,11645,8337,360,127,669,,43,,,14743,156,,4100,,4788,5700,,,Nidwalden
1991,168352,9958,1490,8467,,,19099,7198,2336,1194,3738,51,4581,,22274,2858,1433,7359,5806,748,2684,,1385,4517,2279,1607,,506,125,,29148,28519,51,558,,20,15170,32,4144,8243,533,192,642,1384,,,21849,20797,991,61,,,9708,,3484,1580,3479,197,,175,,792,21398,14319,6309,356,149,233,,34,,,15232,148,,4467,,4999,5618,,,Nidwalden
1992,185166,12330,1429,10901,,,24210,7580,2818,1031,4821,67,7892,,25561,3675,1712,8100,6614,922,2916,,1622,3345,1671,495,,673,506,,30888,30394,60,412,,22,19278,28,4855,10576,600,245,943,2027,,5,22536,21125,1411,,,,11884,2,4283,145,5546,219,,170,,1519,20229,14509,4961,369,180,178,,33,,,14904,309,,4720,,4324,5552,,,Nidwalden
1993,198429,15082,1446,13635,,,19140,7994,2815,1347,3586,68,3331,,29612,4558,3242,8837,6873,1134,3248,,1721,4887,2007,881,,730,1269,,29885,29387,63,413,,21,28554,89,5166,10895,666,7547,825,3360,,5,22620,21309,1311,,,,9750,21,4935,85,3894,206,,177,,433,22850,15966,5848,393,130,437,,75,,,16050,439,,4754,,4411,6445,,,Nidwalden
1994,210743,12902,1562,11340,,,19415,8455,3044,1305,3337,61,3214,,31598,3797,3165,10557,7502,1192,3429,,1956,4138,2928,426,,533,250,,38449,37934,62,430,,23,25979,93,5751,12169,564,3620,812,2966,,4,24150,21390,2760,,,,10493,13,5104,112,4067,259,,263,,676,27291,16107,5114,410,181,451,5000,29,,,16328,241,,4881,,4456,6750,,,Nidwalden
1995,223670,15625,1585,14039,,,19982,8333,2952,1520,3646,219,3312,,35700,5638,2466,12452,8203,1462,3727,,1753,2619,1588,455,,538,38,,47066,46580,67,381,,38,27399,2321,7186,9180,640,798,804,6470,,,24048,20749,2892,408,,,9417,2,4843,64,2754,438,,377,,940,22252,16914,4184,393,186,517,,59,,,19564,278,,8932,,3518,6836,,,Nidwalden
1996,235141,16389,1477,14912,,,21354,8940,3118,1494,3666,212,3924,,32840,4205,2008,10710,8438,1529,4238,,1712,2258,1080,564,,578,37,,49847,49273,157,375,,42,35069,6998,8950,8892,656,4860,564,4140,,9,20627,17513,3006,108,,,9578,7,3738,95,3823,490,,306,,1119,25691,19847,4846,411,192,386,,10,,,21487,210,,9225,,4681,7371,,,Nidwalden
1997,236104,13779,1530,12249,,,24283,8497,3430,1636,3528,4171,3020,,34487,4096,2491,10782,9013,1806,4580,,1718,3331,1827,669,,794,41,,43451,42786,52,443,,170,41143,7585,9638,9344,1315,8783,819,3658,,,21470,18917,2553,,,,7794,,2360,175,3891,537,,121,,709,25683,20623,4231,421,207,194,,7,,,20685,300,,9169,,3601,7615,,,Nidwalden
1998,247767,14946,1659,13287,,,22092,8408,3475,1533,3548,2023,3104,,37033,3477,2441,13121,11487,1989,2779,,1739,3361,2096,585,,633,47,,39949,39139,34,620,,156,38579,6306,8268,9650,1344,7491,417,5099,,5,38151,35540,2612,,,,8137,,2044,132,4364,525,,105,,966,23364,19316,3227,388,200,212,,23,,,22156,476,,9639,,3920,8121,,,Nidwalden
